Объявление;Цена
5-к. квартира, 120,9 м², 2/33 эт.;27 460 742 ₽
5-к. квартира, 155,4 м², 3/10 эт.;88 811 100 ₽
5-к. квартира, 206 м², 12/12 эт.;170 897 000 ₽
5-к. квартира, 151,9 м², 2/13 эт.;28 414 074 ₽
5-к. квартира, 142 м², 5/12 эт.;81 371 472 ₽
5-к. квартира, 126,6 м², 22/23 эт.;69 478 080 ₽
5-к. квартира, 105,6 м², 14/17 эт.;18 932 385 ₽
5-к. квартира, 113,2 м², 14/17 эт.;19 843 960 ₽
6-к. квартира, 118,1 м², 14/17 эт.;20 404 224 ₽
5-к. квартира, 151,8 м², 2/16 эт.;28 561 621 ₽
5-к. квартира, 245,2 м², 17/21 эт.;228 037 000 ₽
5-к. квартира, 430,3 м², 21/21 эт.;580 959 000 ₽
5-к. квартира, 116,5 м², 14/17 эт.;20 234 925 ₽
5-к. квартира, 320,3 м², 21/21 эт.;416 429 000 ₽
5-к. квартира, 278,5 м², 10/21 эт.;188 321 700 ₽
5-к. квартира, 113 м², 2/16 эт.;24 715 533 ₽
5-к. квартира, 150 м², 2/13 эт.;28 314 398 ₽
5-к. квартира, 140 м², 4/14 эт.;61 300 000 ₽
5-к. квартира, 127,9 м², 22/22 эт.;70 000 000 ₽
5-к. квартира, 359,7 м², 21/21 эт.;395 500 000 ₽
5-к. апартаменты, 84 м², 13/18 эт.;24 700 000 ₽
5-к. квартира, 128,2 м², 22/22 эт.;72 287 880 ₽
5-к. квартира, 153 м², 17/19 эт.;63 995 000 ₽
5-к. квартира, 137,4 м², 10/12 эт.;94 022 920 ₽
5-к. квартира, 358,2 м², 21/21 эт.;465 504 000 ₽
5-к. квартира, 128,2 м², 22/22 эт.;73 000 000 ₽
6-к. апартаменты, 274,4 м², 6/9 эт.;265 476 316 ₽
5-к. квартира, 187,8 м², 2/22 эт.;32 908 408 ₽
5-к. квартира, 350,2 м², 7/20 эт.;215 337 980 ₽
5-к. квартира, 137,9 м², 14/15 эт.;73 652 390 ₽
5-к. квартира, 190,7 м², 8/17 эт.;148 725 454 ₽
5-к. квартира, 136 м², 6/23 эт.;80 000 000 ₽
5-к. квартира, 278,5 м², 10/20 эт.;188 321 700 ₽
5-к. квартира, 127,9 м², 22/22 эт.;69 310 960 ₽
5-к. квартира, 156,7 м², 20/24 эт.;71 000 000 ₽
5-к. квартира, 138 м², 2/12 эт.;28 846 379 ₽
5-к. квартира, 141,6 м², 2/15 эт.;31 362 848 ₽
5-к. квартира, 281,4 м², 7/20 эт.;193 462 500 ₽
5-к. квартира, 142 м², 7/12 эт.;93 906 540 ₽
5-к. квартира, 183 м², 6/17 эт.;135 889 649 ₽
5-к. квартира, 136,7 м², 2/15 эт.;28 963 408 ₽
5-к. квартира, 291,5 м², 17/17 эт.;110 850 570 ₽
5-к. квартира, 138,6 м², 2/15 эт.;64 315 000 ₽
5-к. квартира, 121,5 м², 5/33 эт.;27 900 288 ₽
